x_value,total_1,total_2
0,1000,1000
1,997,1004
2,1001,1002
3,995,1006
4,1003,1008
5,1003,1006
6,998,1010
7,998,1005
8,998,1008
9,995,1012
10,993,1010
11,995,1012
12,1002,1014
13,1007,1011
14,1012,1006
15,1007,1001
16,1002,1006
17,998,1011
18,999,1013
19,1004,1015
20,1007,1012
21,1007,1016
22,1006,1013
23,1000,1019
24,1003,1023
25,998,1025
26,997,1028
27,993,1033
28,996,1036
29,996,1033
30,995,1037
31,998,1033
32,1001,1028
33,995,1029
34,996,1029
35,990,1027
36,995,1023
37,992,1026
38,994,1031
39,992,1034
40,997,1035
41,994,1040
42,993,1042
43,998,1037
44,997,1038
45,1000,1040
46,1002,1035
47,1003,1040
48,997,1035
49,1005,1041
50,1009,1045
51,1012,1050
52,1014,1046
53,1010,1041
54,1006,1040
55,1000,1036
56,997,1041
57,997,1043
58,997,1039
59,995,1043
60,995,1048
61,994,1050
62,1001,1053
63,998,1055
64,1001,1056
65,1004,1059
66,1007,1065
67,1006,1066
68,1004,1061
69,1002,1058
70,1000,1064
71,1000,1065
72,1008,1069
73,1013,1065
74,1015,1071
75,1014,1075
76,1014,1076
77,1022,1077
78,1019,1081
79,1025,1084
80,1029,1084
81,1026,1082
82,1027,1078
83,1023,1076
84,1022,1071
85,1023,1067
86,1020,1073
87,1022,1070
88,1027,1069
89,1033,1065
90,1039,1070
91,1046,1066
92,1044,1072
93,1051,1075
94,1054,1071
95,1049,1069
96,1050,1074
97,1054,1078
98,1056,1083
99,1063,1083
100,1062,1087
101,1056,1092
102,1055,1095
103,1059,1091
104,1061,1094
105,1069,1090
106,1068,1094
107,1068,1090
108,1074,1086
109,1072,1091
110,1067,1097
111,1071,1103
112,1067,1098
113,1075,1094
114,1072,1093
115,1080,1092
116,1088,1089
117,1085,1094
118,1089,1093
119,1095,1090
120,1094,1087
121,1100,1082
122,1097,1084
123,1100,1081
124,1106,1079
125,1112,1085
126,1108,1091
127,1103,1097
128,1110,1094
129,1118,1099
130,1121,1098
131,1125,1102
132,1126,1099
133,1129,1103
134,1123,1098
135,1119,1093
136,1116,1090
137,1121,1096
138,1123,1097
139,1119,1097
140,1127,1098
141,1124,1098
142,1126,1102
143,1129,1105
144,1132,1102
145,1138,1103
146,1146,1107
147,1145,1112
148,1149,1114
149,1153,1115
150,1150,1119
151,1149,1116
152,1155,1111
153,1158,1117
154,1160,1123
155,1160,1121
156,1163,1124
157,1160,1126
158,1162,1130
159,1166,1132
160,1167,1133
161,1173,1136
162,1168,1131
163,1172,1136
164,1167,1134
165,1172,1136
166,1177,1141
167,1175,1138
168,1181,1136
169,1179,1140
170,1179,1140
171,1182,1137
172,1177,1136
173,1173,1132
174,1168,1136
175,1166,1131
176,1172,1127
177,1176,1123
178,1184,1123
179,1187,1129
180,1181,1134
181,1186,1140
182,1188,1141
183,1190,1136
184,1195,1136
185,1199,1131
186,1206,1137
187,1213,1137
188,1207,1135
189,1211,1140
190,1217,1142
191,1222,1145
192,1224,1146
193,1225,1150
194,1219,1150
195,1224,1152
196,1219,1154
197,1227,1153
198,1225,1155
199,1232,1156
200,1228,1159
201,1236,1156
202,1239,1158
203,1239,1158
204,1239,1157
205,1242,1154
206,1237,1154
207,1237,1149
208,1239,1148
209,1240,1151
210,1244,1157
211,1250,1160
212,1251,1163
213,1259,1164
214,1253,1169
215,1258,1171
216,1257,1177
217,1252,1181
218,1253,1178
219,1260,1174
220,1266,1171
221,1270,1169
222,1272,1171
223,1267,1177
224,1270,1172
225,1277,1172
226,1274,1174
227,1280,1173
228,1284,1177
229,1292,1177
230,1300,1174
231,1303,1180
232,1309,1180
233,1313,1176
234,1313,1177
235,1315,1177
236,1315,1177
237,1315,1176
238,1315,1181
239,1309,1179
240,1306,1174
241,1313,1173
242,1312,1170
243,1319,1176
244,1314,1180
245,1318,1177
246,1317,1182
247,1322,1177
248,1329,1183
249,1326,1183
250,1327,1186
251,1334,1189
252,1341,1188
253,1339,1183
